------- Iteracion 0 --------
Original,Colision,Equivalente,Hash
456789,081388,0,0
987654,160732,0,0
123456,607075,0,0
937586,243399,0,0
998263,771006,0,0
712874,381264,0,0
728471,870707,0,0
876543,719205,0,0
238745,652112,0,0
665534,435682,665534,2097854040
918237,834737,0,0
564738,351820,0,0
163937,348551,0,0
228844,659476,0,0
947264,969014,0,0
------- Iteracion 1 --------
Original,Colision,Equivalente,Hash
456789,219054,0,0
987654,568473,0,0
123456,876768,0,0
937586,452391,0,0
998263,426085,0,0
712874,964200,0,0
728471,174672,0,0
876543,588937,0,0
238745,242418,0,0
665534,875769,665534,2097854040
918237,495446,0,0
564738,618827,0,0
163937,017894,0,0
228844,036065,0,0
947264,798061,0,0
------- Iteracion 2 --------
Original,Colision,Equivalente,Hash
456789,200011,0,0
987654,490700,0,0
123456,683492,0,0
937586,526909,0,0
998263,645300,0,0
712874,446074,0,0
728471,293276,0,0
876543,356349,0,0
238745,346198,0,0
665534,100779,665534,2097854040
918237,180843,0,0
564738,782499,0,0
163937,790885,0,0
228844,132524,0,0
947264,047340,0,0
------- Iteracion 3 --------
Original,Colision,Equivalente,Hash
456789,610152,0,0
987654,817280,0,0
123456,540635,0,0
937586,605531,0,0
998263,840544,0,0
712874,128262,0,0
728471,761837,0,0
876543,260012,0,0
238745,434472,0,0
665534,387647,665534,2097854040
918237,748012,0,0
564738,281782,0,0
163937,575870,0,0
228844,756731,0,0
947264,152899,0,0
------- Iteracion 4 --------
Original,Colision,Equivalente,Hash
456789,664066,0,0
987654,611738,0,0
123456,399466,0,0
937586,664066,0,0
998263,218420,0,0
712874,156377,0,0
728471,798995,0,0
876543,906025,0,0
238745,074460,0,0
665534,989823,665534,2097854040
918237,630441,0,0
564738,723470,0,0
163937,199138,0,0
228844,855600,0,0
947264,029047,0,0
------- Iteracion 5 --------
Original,Colision,Equivalente,Hash
456789,505117,0,0
987654,193176,0,0
123456,618127,0,0
937586,098367,0,0
998263,342673,0,0
712874,202137,0,0
728471,750796,0,0
876543,664497,0,0
238745,671240,0,0
665534,561686,665534,2097854040
918237,473591,0,0
564738,094462,0,0
163937,192647,0,0
228844,248635,0,0
947264,021617,0,0
------- Iteracion 6 --------
Original,Colision,Equivalente,Hash
456789,404472,0,0
987654,160511,0,0
123456,848703,0,0
937586,398554,0,0
998263,677320,0,0
712874,937287,0,0
728471,842471,0,0
876543,662756,0,0
238745,417463,0,0
665534,684424,665534,2097854040
918237,323614,0,0
564738,323407,0,0
163937,325216,0,0
228844,423104,0,0
947264,845493,0,0
------- Iteracion 7 --------
Original,Colision,Equivalente,Hash
456789,200011,0,0
987654,479832,0,0
123456,884233,0,0
937586,552883,0,0
998263,471253,0,0
712874,069960,0,0
728471,020755,0,0
876543,082608,0,0
238745,360690,0,0
665534,179247,665534,2097854040
918237,314271,0,0
564738,698961,0,0
163937,199138,0,0
228844,882448,0,0
947264,002427,0,0
------- Iteracion 8 --------
Original,Colision,Equivalente,Hash
456789,237627,0,0
987654,266462,0,0
123456,673430,0,0
937586,972651,0,0
998263,375464,0,0
712874,958120,0,0
728471,491527,0,0
876543,156477,0,0
238745,622731,0,0
665534,177523,665534,2097854040
918237,651844,0,0
564738,114279,0,0
163937,872869,0,0
228844,205804,0,0
947264,162637,0,0
------- Iteracion 9 --------
Original,Colision,Equivalente,Hash
456789,845971,0,0
987654,162602,0,0
123456,350252,0,0
937586,552883,0,0
998263,826990,0,0
712874,553072,0,0
728471,233199,0,0
876543,318703,0,0
238745,089281,0,0
665534,303094,665534,2097854040
918237,495446,0,0
564738,496322,0,0
163937,559242,0,0
228844,190793,0,0
947264,029047,0,0
------- Iteracion 10 --------
Original,Colision,Equivalente,Hash
456789,964262,0,0
987654,159419,0,0
123456,316884,0,0
937586,351817,0,0
998263,013178,0,0
712874,873354,0,0
728471,985647,0,0
876543,507962,0,0
238745,782371,0,0
665534,131582,665534,2097854040
918237,899982,0,0
564738,070475,0,0
163937,267614,0,0
228844,315383,0,0
947264,135019,0,0
------- Iteracion 11 --------
Original,Colision,Equivalente,Hash
456789,850164,0,0
987654,192771,0,0
123456,811328,0,0
937586,664066,0,0
998263,879110,0,0
712874,266244,0,0
728471,636359,0,0
876543,180015,0,0
238745,364770,0,0
665534,057045,665534,2097854040
918237,541554,0,0
564738,881371,0,0
163937,831551,0,0
228844,135929,0,0
947264,856454,0,0
------- Iteracion 12 --------
Original,Colision,Equivalente,Hash
456789,254522,0,0
987654,117843,0,0
123456,168107,0,0
937586,865681,0,0
998263,416240,0,0
712874,463665,0,0
728471,420689,0,0
876543,140435,0,0
238745,915451,0,0
