-------- Resultados para Hash: 24 --------
Tamanio Texto,Licito,Ilicito,Tiempo
13,10110000101010000000000000000000,00001000110100000000000000000000,0.20396676380187273
13,00100101000100000000000000000000,00010000001010000000000000000000,0.1377147063612938
12,01101000100000000000000000000000,00101010101000000000000000000000,0.08606783207505941
12,00100011111100000000000000000000,00001111111000000000000000000000,0.06841742340475321
12,01110001101000000000000000000000,01111110011100000000000000000000,0.08744942024350166
12,01001001001000000000000000000000,11011101100100000000000000000000,0.07744715642184019
12,01000000100000000000000000000000,11101100111000000000000000000000,0.07691229972988367
13,00011000110110000000000000000000,01000100001010000000000000000000,0.13270813319832087
12,01011011001100000000000000000000,01001010111000000000000000000000,0.08414036687463522
13,01000100101100000000000000000000,01101001110010000000000000000000,0.1571371704339981
13,00100100001010000000000000000000,01111100100010000000000000000000,0.1388244153931737
12,00010100111100000000000000000000,01010100100000000000000000000000,0.06692972127348185
12,10011101101100000000000000000000,00111110010100000000000000000000,0.10235667321830988
12,00110110111000000000000000000000,00011001001100000000000000000000,0.07696358300745487
12,00010010010100000000000000000000,00001001100100000000000000000000,0.06739758234471083
La media para 5 es de: 0.11672322917729616
La media total es de: 0.10429554985215267

-------- Resultados para Hash: 28 --------
Tamanio Texto,Licito,Ilicito,Tiempo
15,10110011100000100000000000000000,11111110110111000000000000000000,0.8510009683668613
15,10111110100000100000000000000000,01010100110001000000000000000000,0.8756663240492344
16,00000011110100000000000000000000,11100111101000010000000000000000,1.0014251684769988
15,00110111010010100000000000000000,00010101011000000000000000000000,0.6054329676553607
16,00011000101000110000000000000000,00111110100100100000000000000000,1.0875333789736032
14,01100110000100000000000000000000,11010111110100000000000000000000,0.3477198267355561
15,01111010100110100000000000000000,01000100101011000000000000000000,0.7421297077089548
16,01010110011000010000000000000000,01000001111000100000000000000000,1.3364444710314274
14,00001110110000000000000000000000,11011000111111000000000000000000,0.2637236835435033
15,10110111100110000000000000000000,01101110000011100000000000000000,0.8668682659044862
15,11111110111110000000000000000000,00000101111101100000000000000000,1.00355445407331
14,11100001100000000000000000000000,00110111111111000000000000000000,0.4722944777458906
14,10011101101100000000000000000000,00111110010100000000000000000000,0.41043060179799795
15,00000101001000100000000000000000,11100011001111100000000000000000,0.5083798617124557
15,01101001100000100000000000000000,11010001101110000000000000000000,0.7083553373813629
La media para 5 es de: 0.8842117615044117
La media total es de: 0.7387306330104669

-------- Resultados para Hash: 32 --------
Tamanio Texto,Licito,Ilicito,Tiempo
17,01001000001010111000000000000000,10010100111101101000000000000000,2.515868333168328
16,00100100000010100000000000000000,11011101001000010000000000000000,1.131444332189858
16,00001111111010110000000000000000,01100011000100110000000000000000,1.0475416658446193
16,00110011011110110000000000000000,11000100100110100000000000000000,1.1956782443448901
16,01101000000100100000000000000000,00101111010000010000000000000000,1.4172358885407448
17,00111001001010101000000000000000,01001100110101000000000000000000,2.4270558999851346
17,00010110000010001000000000000000,11001000100101011000000000000000,2.1556394966319203
16,11101100010100110000000000000000,00000001100001110000000000000000,1.9440963631495833
